latitude,longitude,provider,download_mbps,upload_mbps,ping,lon_from_geom,lat_from_geom
51.08138081890047,71.36582724776927,Kazakhtelecom,483.11,484.65,24.5,71.36582724776927,51.08138081890047
51.08138081890047,71.3686900196054,Kazakhtelecom,483.11,484.65,24.5,71.3686900196054,51.08138081890047
51.08138081890047,71.37155279144152,Kazakhtelecom,393.02,361.57,24.25,71.37155279144152,51.08138081890047
51.08138081890047,71.37441556327764,Kazakhtelecom,393.02,361.57,24.25,71.37441556327764,51.08138081890047
51.08138081890047,71.37727833511376,Kazakhtelecom,393.02,361.57,24.25,71.37727833511376,51.08138081890047
51.08138081890047,71.38014110694986,Kazakhtelecom,393.02,361.57,24.25,71.38014110694986,51.08138081890047
51.08138081890047,71.38300387878598,Kazakhtelecom,262.51,241.09,87.16666666666667,71.38300387878598,51.08138081890047
51.08138081890047,71.3858666506221,Kazakhtelecom,262.51,241.09,87.16666666666667,71.3858666506221,51.08138081890047
51.08138081890047,71.38872942245823,Kazakhtelecom,262.51,241.09,87.16666666666667,71.38872942245823,51.08138081890047
51.08138081890047,71.39159219429435,Kazakhtelecom,262.51,241.09,87.16666666666667,71.39159219429435,51.08138081890047
51.08138081890047,71.39445496613045,Kazakhtelecom,152.21,119.31,118.5,71.39445496613045,51.08138081890047
51.08138081890047,71.39731773796657,Kazakhtelecom,152.21,119.31,118.5,71.39731773796657,51.08138081890047
51.08138081890047,71.4001805098027,Kazakhtelecom,1.49,0.12,213.0,71.4001805098027,51.08138081890047
51.08138081890047,71.40304328163882,Kazakhtelecom,1.49,0.12,213.0,71.40304328163882,51.08138081890047
51.08138081890047,71.40590605347494,Kazakhtelecom,1.49,0.12,213.0,71.40590605347494,51.08138081890047
51.08138081890047,71.41163159714716,Kazakhtelecom,101.85,99.52,23.3214285714286,71.41163159714716,51.08138081890047
51.08138081890047,71.41449436898328,Kazakhtelecom,87.8,83.97,30.601190476190503,71.41449436898328,51.08138081890047
51.08138081890047,71.4173571408194,Kazakhtelecom,103.03,114.78,29.610714285714298,71.4173571408194,51.08138081890047
51.08138081890047,71.42021991265553,Kazakhtelecom,73.86,78.89,34.58169642857144,71.42021991265553,51.08138081890047
51.08138081890047,71.42308268449165,Kazakhtelecom,73.86,78.89,34.58169642857144,71.42308268449165,51.08138081890047
51.08138081890047,71.42594545632775,Kazakhtelecom,73.7,74.89,32.56535714285715,71.42594545632775,51.08138081890047
51.08138081890047,71.42880822816387,Kazakhtelecom,104.8,85.98,32.10986394557824,71.42880822816387,51.08138081890047
51.08138081890047,71.431671,Kazakhtelecom,210.37,145.28,29.730337941628257,71.431671,51.08138081890047
51.08138081890047,71.43453377183612,Kazakhtelecom,216.8,149.91,28.488015873015865,71.43453377183612,51.08138081890047
51.08138081890047,71.43739654367224,Kazakhtelecom,305.83,183.54,31.031372549019586,71.43739654367224,51.08138081890047
51.08138081890047,71.44025931550834,Kazakhtelecom,299.78,136.51,35.52,71.44025931550834,51.08138081890047
51.08138081890047,71.44312208734446,Kazakhtelecom,484.97,213.4,25.166666666666668,71.44312208734446,51.08138081890047
51.08138081890047,71.44598485918058,Kazakhtelecom,711.57,312.68,24.5,71.44598485918058,51.08138081890047
51.08138081890047,71.4488476310167,Kazakhtelecom,576.28,256.59,24.7,71.4488476310167,51.08138081890047
51.08138081890047,71.45171040285283,Kazakhtelecom,576.28,256.59,24.7,71.45171040285283,51.08138081890047
51.08138081890047,71.45457317468893,Kazakhtelecom,463.98,229.89,24.214285714285715,71.45457317468893,51.08138081890047
51.08138081890047,71.45743594652505,Kazakhtelecom,429.08,234.85,23.833333333333332,71.45743594652505,51.08138081890047
51.08138081890047,71.46029871836117,Kazakhtelecom,151.66,155.42,22.666666666666668,71.46029871836117,51.08138081890047
51.08138081890047,71.4631614901973,Kazakhtelecom,151.66,155.42,22.666666666666668,71.4631614901973,51.08138081890047
